instancia,ciclo_ajustado,ce,cp,eps1,fs1,fs2,ps1,ps2,ps3,ps4,ps5,ps6,se,ts1,ts2,ts3,ts4,vs1,ciclo_sequencial
1665,1,47.227,2.147,2925.2,0.005,10.178,191.62,0.211,0,9.659,9.946,9.823,67.96,35.668,41.273,38.437,30.602,0.548,1
1665,2,47.119,2.143,2951.4,0,10.161,191.51,0,0,9.673,9.942,9.821,0,35.57,41.234,38.445,30.594,0.553,2
1665,3,47.24,2.149,2951.2,0.001,10.189,191.55,0,0,9.626,9.905,9.781,0,35.508,41.246,38.414,30.602,0.563,3
1665,4,47.324,2.142,2949.6,0,10.171,191.51,0,0,9.648,9.927,9.812,0,35.488,41.242,38.437,30.617,0.566,4
1665,5,47.408,2.15,2948,0,10.165,191.38,0,0,9.697,9.964,9.839,0,35.453,41.223,38.418,30.617,0.56,5
1665,6,47.433,2.147,2948,0,10.181,191.59,0,0,9.652,9.918,9.806,0,35.422,41.156,38.43,30.617,0.566,6
1665,7,47.313,2.146,2948,0,10.17,191.44,0,0,9.637,9.915,9.8,0,35.332,41.168,38.457,30.605,0.559,7
1665,8,47.351,2.148,2947.8,0,10.158,191.52,0,0,9.673,9.942,9.824,0,35.254,41.156,38.441,30.617,0.558,8
1665,9,47.148,2.136,2949.6,0,10.165,191.48,0,0,9.627,9.901,9.781,0,35.234,41.141,38.418,30.613,0.574,9
1665,10,47.242,2.138,2531.8,11.828,10.16,153.06,124.75,3.383,10.095,9.877,9.759,62.02,35.242,41.082,38.445,30.641,0.613,10
1665,11,47.076,2.132,2360.2,7.976,10.139,147.02,120.98,2.352,10.152,9.913,9.8,62.02,35.238,41.086,38.453,30.633,0.577,11
1665,12,47.098,2.124,2357.2,7.986,10.159,146.65,120.59,2.227,10.123,9.908,9.786,68.448,35.227,41.082,38.437,30.641,0.551,12
1008,1,27.498,1.72,2778.8,0,9.637,190.09,0.187,0,0,9.025,8.942,66.571,45.883,50.715,47.937,41.328,0.617,13
1008,2,27.512,1.718,2887.6,0,9.62,190.57,0,0,0,9.039,8.96,0,45.809,50.715,47.93,41.324,0.643,14
1008,3,27.686,1.73,2888,0.001,9.626,190.42,0,0,0,9.061,8.97,0,45.754,50.672,47.93,41.312,0.674,15
1008,4,27.548,1.715,2890,0,9.646,190.48,0,0,0,9.024,8.95,0,45.727,50.641,47.941,41.336,0.688,16
1008,5,27.756,1.737,2887.8,0.001,9.643,190.55,0,0,0,9.014,8.928,0,45.617,50.633,48.016,41.301,0.682,17
1008,6,27.743,1.739,2887.6,0.003,9.637,190.48,0,0,0,9.022,8.941,0,45.551,50.648,48.008,41.328,0.674,18
1008,7,27.722,1.735,2891.4,0.005,9.636,190.5,0,0,0,9.061,8.979,0,45.562,50.586,48.031,41.328,0.678,19
1008,8,27.754,1.74,2887.8,0.001,9.631,190.6,0,0,0,9.056,8.973,0,45.473,50.559,48.031,41.316,0.684,20
1008,9,27.724,1.732,2887.8,0.003,9.643,190.52,0,0,0,9.017,8.941,0,45.473,50.539,48.02,41.324,0.687,21
1008,10,27.676,1.731,2537.8,13.275,9.628,152.32,123.77,3.656,0,9.005,8.926,67.882,45.375,50.469,48.023,41.34,0.686,22
1008,11,27.681,1.734,2263.8,7.634,9.62,143.6,117.94,2.117,0,9.039,8.963,67.882,45.383,50.469,48.031,41.352,0.637,23
1008,12,27.71,1.732,2259.8,7.643,9.617,143.3,117.68,2.055,0,9.057,8.98,66.43,45.391,50.484,48.016,41.34,0.614,24
1008,13,27.905,1.745,2259.8,7.631,9.632,143.6,117.89,2.031,0,9.016,8.946,66.43,45.383,50.484,48.02,41.352,0.621,25
1008,14,27.798,1.731,2263.8,7.645,9.632,143.15,117.52,2.156,0,8.988,8.913,66.313,45.469,50.523,48.02,41.355,0.629,26
1008,15,27.744,1.733,2261.4,7.624,9.622,143.26,117.87,1.977,0,9.017,8.941,66.313,45.551,50.551,48.02,41.352,0.622,27
1008,16,27.854,1.739,2255.6,7.648,9.627,143.37,117.7,2.008,0,9.055,8.974,66.366,45.566,50.539,48.02,41.355,0.612,28
1008,17,28.102,1.761,2257.6,7.638,9.649,143.55,117.94,2.141,0,9.067,8.983,66.366,45.566,50.551,48.113,41.34,0.595,29
1008,18,28.053,1.754,2261.4,7.589,9.664,143.57,118.01,2.156,0,9.03,8.967,66.331,45.633,50.562,48.113,41.352,0.59,30
1008,19,27.97,1.755,2256,7.644,9.648,143.17,117.78,2.008,0,9.021,8.95,66.331,45.629,50.559,48.098,41.355,0.588,31
1008,20,28.051,1.761,2395.4,7.584,9.637,153.53,128.28,1.937,0,9.067,8.977,58.202,45.723,50.578,48.117,41.355,0.598,32
1008,21,28.115,1.757,2395.8,7.571,9.629,153.38,127.92,2.047,0,9.067,9,58.202,45.723,50.562,48.098,41.328,0.604,33
1008,22,28.027,1.753,2391.8,7.632,9.653,153.3,127.73,1.922,0,9.05,8.962,67.321,45.723,50.617,48.105,41.344,0.616,34
1008,23,28.002,1.754,2397.6,7.662,9.68,153.41,127.82,1.953,0,9.012,8.933,67.321,45.742,50.641,48.105,41.34,0.639,35
1008,24,27.749,1.731,2395.6,7.442,9.629,153.31,127.47,2.031,0,9.014,8.943,67.05,45.727,50.621,48.023,41.344,0.637,36
182,1,19.856,1.547,2716.6,0,9.192,190.09,0.141,0,0,8.55,8.495,69.899,54.227,58.883,55.656,49.406,0.631,37
182,2,20.117,1.567,2828,0.003,9.208,190.07,0,0,0,8.564,8.507,0,54.16,58.875,55.645,49.363,0.727,38
182,3,20.058,1.565,2828,0.001,9.198,189.91,0,0,0,8.575,8.528,0,54.07,58.848,55.645,49.344,0.768,39
182,4,20.348,1.588,2829.8,0.007,9.213,190.09,0,0,0,8.547,8.484,0,53.98,58.793,55.652,49.328,0.76,40
182,5,20.127,1.563,2830.6,0.003,9.187,190.14,0,0.031,0,8.538,8.477,0,53.906,58.723,55.707,49.352,0.757,41
182,6,20.231,1.578,2829.8,0,9.2,190.12,0,0,0,8.5,8.437,0,53.859,58.66,55.687,49.34,0.85,42
182,7,19.911,1.557,2831,0.004,9.174,190.31,0,0.055,0,8.512,8.453,0,53.816,58.625,55.684,49.402,0.843,43
182,8,19.961,1.562,2830.8,0.003,9.206,190.14,0,0,0,8.559,8.491,0,53.754,58.578,55.715,49.418,0.835,44
182,9,19.879,1.542,2832.6,0.001,9.138,190.09,0,0.008,0,8.568,8.512,0,53.656,58.523,55.687,49.41,0.859,45
182,10,19.934,1.544,2451,12.561,9.177,142.91,116.66,2.32,0,8.551,8.486,77.18,53.633,58.535,55.699,49.441,0.836,46
182,11,19.924,1.541,2194.8,7.749,9.19,142.26,116.83,2.102,0,8.519,8.443,77.18,53.633,58.516,55.684,49.441,0.762,47
182,12,19.886,1.538,2190.8,7.75,9.167,142.02,116.43,1.953,0,8.506,8.439,68.563,53.566,58.52,55.711,49.441,0.706,48
182,13,20.117,1.572,2191.8,7.732,9.154,141.64,116.32,2.055,0,8.52,8.461,68.563,53.645,58.531,55.699,49.363,0.677,49
