sensor,instancia,valor,sensor_ciclo,cooler,valve,leakage,accumulator,stable,classificacao,row_number,__index_level_0__,ciclo_ajustado,valor_acumulado,saúde,valor_normalizado,falha_cooler,falha_valve,falha_leakage,falha_accumulator
ce,67,19.833,ce_1,3,100,0,130,1,3-100-0-130-1,2926560,2926560,1.0,19.833,60.0,0.08794706160390726,1,0,0,0
ce,67,20.163,ce_2,3,100,0,130,1,3-100-0-130-1,2926561,2926561,2.0,39.995999999999995,60.0,0.09834567512210489,1,0,0,0
ce,67,20.344,ce_3,3,100,0,130,1,3-100-0-130-1,2926562,2926562,3.0,60.339999999999996,60.0,0.10404915708208601,1,0,0,0
ce,67,20.331,ce_4,3,100,0,130,1,3-100-0-130-1,2926563,2926563,4.0,80.67099999999999,60.0,0.10363951473136909,1,0,0,0
ce,67,20.354,ce_5,3,100,0,130,1,3-100-0-130-1,2926564,2926564,5.0,101.02499999999999,60.0,0.1043642665826374,1,0,0,0
ce,67,20.056,ce_6,3,100,0,130,1,3-100-0-130-1,2926565,2926565,6.0,121.08099999999999,60.0,0.09497400346620449,1,0,0,0
ce,67,20.069,ce_7,3,100,0,130,1,3-100-0-130-1,2926566,2926566,7.0,141.14999999999998,60.0,0.0953836458169213,1,0,0,0
ce,67,19.899,ce_8,3,100,0,130,1,3-100-0-130-1,2926567,2926567,8.0,161.04899999999998,60.0,0.09002678430754685,1,0,0,0
ce,67,19.963,ce_9,3,100,0,130,1,3-100-0-130-1,2926568,2926568,9.0,181.01199999999997,60.0,0.09204348511107609,1,0,0,0
ce,67,19.877,ce_10,3,100,0,130,1,3-100-0-130-1,2926569,2926569,10.0,200.88899999999998,60.0,0.08933354340633362,1,0,0,0
ce,67,19.814,ce_11,3,100,0,130,1,3-100-0-130-1,2926570,2926570,11.0,220.70299999999997,60.0,0.08734835355285957,1,0,0,0
ce,67,19.851,ce_12,3,100,0,130,1,3-100-0-130-1,2926571,2926571,12.0,240.55399999999997,60.0,0.08851425870489987,1,0,0,0
ce,67,20.179,ce_13,3,100,0,130,1,3-100-0-130-1,2926572,2926572,13.0,260.73299999999995,60.0,0.09884985032298714,1,0,0,0
ce,67,20.109,ce_14,3,100,0,130,1,3-100-0-130-1,2926573,2926573,14.0,280.8419999999999,60.0,0.09664408381912716,1,0,0,0
ce,67,20.084,ce_15,3,100,0,130,1,3-100-0-130-1,2926574,2926574,15.0,300.92599999999993,60.0,0.09585631006774849,1,0,0,0
ce,67,20.119,ce_16,3,100,0,130,1,3-100-0-130-1,2926575,2926575,16.0,321.04499999999996,60.0,0.09695919331967853,1,0,0,0
ce,67,20.086,ce_17,3,100,0,130,1,3-100-0-130-1,2926576,2926576,17.0,341.131,60.0,0.09591933196785873,1,0,0,0
ce,67,20.078,ce_18,3,100,0,130,1,3-100-0-130-1,2926577,2926577,18.0,361.20899999999995,60.0,0.09566724436741761,1,0,0,0
ce,67,19.99,ce_19,3,100,0,130,1,3-100-0-130-1,2926578,2926578,19.0,381.19899999999996,60.0,0.0928942807625649,1,0,0,0
ce,67,19.973,ce_20,3,100,0,130,1,3-100-0-130-1,2926579,2926579,20.0,401.17199999999997,60.0,0.09235859461162746,1,0,0,0
ce,67,20.169,ce_21,3,100,0,130,1,3-100-0-130-1,2926580,2926580,21.0,421.34099999999995,60.0,0.09853474082243577,1,0,0,0
ce,67,20.181,ce_22,3,100,0,130,1,3-100-0-130-1,2926581,2926581,22.0,441.52199999999993,60.0,0.09891287222309751,1,0,0,0
ce,67,20.227,ce_23,3,100,0,130,1,3-100-0-130-1,2926582,2926582,23.0,461.7489999999999,60.0,0.10036237592563411,1,0,0,0
ce,67,20.066,ce_24,3,100,0,130,1,3-100-0-130-1,2926583,2926583,24.0,481.8149999999999,60.0,0.09528911296675587,1,0,0,0
ce,67,20.048,ce_25,3,100,0,130,1,3-100-0-130-1,2926584,2926584,25.0,501.8629999999999,60.0,0.09472191586576326,1,0,0,0
ce,67,20.028,ce_26,3,100,0,130,1,3-100-0-130-1,2926585,2926585,26.0,521.8909999999998,60.0,0.09409169686466037,1,0,0,0
ce,67,20.011,ce_27,3,100,0,130,1,3-100-0-130-1,2926586,2926586,27.0,541.9019999999998,60.0,0.09355601071372295,1,0,0,0
ce,67,19.617,ce_28,3,100,0,130,1,3-100-0-130-1,2926587,2926587,28.0,561.5189999999998,60.0,0.0811406963919962,1,0,0,0
ce,67,19.655,ce_29,3,100,0,130,1,3-100-0-130-1,2926588,2926588,29.0,581.1739999999998,60.0,0.08233811249409169,1,0,0,0
ce,67,19.744,ce_30,3,100,0,130,1,3-100-0-130-1,2926589,2926589,30.0,600.9179999999998,60.0,0.08514258704899948,1,0,0,0
ce,67,19.89,ce_31,3,100,0,130,1,3-100-0-130-1,2926590,2926590,31.0,620.8079999999998,60.0,0.08974318575705055,1,0,0,0
ce,67,19.687,ce_32,3,100,0,130,1,3-100-0-130-1,2926591,2926591,32.0,640.4949999999998,60.0,0.0833464628958563,1,0,0,0
ce,67,19.783,ce_33,3,100,0,130,1,3-100-0-130-1,2926592,2926592,33.0,660.2779999999998,60.0,0.08637151410115014,1,0,0,0
ce,67,19.841,ce_34,3,100,0,130,1,3-100-0-130-1,2926593,2926593,34.0,680.1189999999998,60.0,0.0881991492043485,1,0,0,0
ce,67,19.826,ce_35,3,100,0,130,1,3-100-0-130-1,2926594,2926594,35.0,699.9449999999998,60.0,0.08772648495352131,1,0,0,0
ce,67,19.6,ce_36,3,100,0,130,1,3-100-0-130-1,2926595,2926595,36.0,719.5449999999998,60.0,0.08060501024105876,1,0,0,0
ce,67,19.524,ce_37,3,100,0,130,1,3-100-0-130-1,2926596,2926596,37.0,739.0689999999998,60.0,0.07821017803686779,1,0,0,0
ce,67,19.517,ce_38,3,100,0,130,1,3-100-0-130-1,2926597,2926597,38.0,758.5859999999999,60.0,0.07798960138648174,1,0,0,0
ce,67,19.535,ce_39,3,100,0,130,1,3-100-0-130-1,2926598,2926598,39.0,778.1209999999999,60.0,0.07855679848747435,1,0,0,0
ce,67,19.524,ce_40,3,100,0,130,1,3-100-0-130-1,2926599,2926599,40.0,797.6449999999999,60.0,0.07821017803686779,1,0,0,0
